coin,symbol,current_price,1h,24h,7d,30d,24h_volume,circulating_supply,total_supply,market_cap,is_outlier
Bitcoin,BTC,36456.94,0.004,-0.017,0.01,0.184,22801222945.0,19549806.0,21000000,712726163003.0,True
Ethereum,ETH,2027.6,0.005,0.013999999999999999,0.01,0.207,26845710464.0,120249015.0,120000000,243488187281.0,True
Tether,USDT,1.0,0.001,-0.003,-0.001,-0.001,47122466339.0,88308652879.0,88300000000,88027617310.0,True
BNB,BNB,231.63,-0.001,-0.126,-0.08,0.054000000000000006,3715265116.0,153856150.0,154000000,35716332862.0,True
XRP,XRP,0.59,0.001,-0.019,-0.069,0.121,1339890506.0,53718306475.0,100000000000,31863926051.0,True
USDC,USDC,1.0,0.0,-0.004,0.0,0.0,16458242430.0,24264590094.0,24300000000,24120082159.0,True
Solana,SOL,54.97,0.006,-0.006,-0.114,0.879,2374980324.0,423104320.0,563000000,23258087884.0,True
Lido Staked Ether,STETH,2023.81,0.004,0.015,0.009000000000000001,0.207,17625537.0,9107771.0,9110000,18435320434.0,True
Cardano,ADA,0.37,0.001,-0.016,0.006999999999999999,0.401,373277046.0,34964744027.0,45000000000,12903956719.0,True
Dogecoin,DOGE,0.07,0.001,-0.023,0.001,0.149,957225658.0,141935606384.0,142000000000,10532913776.0,False
TRON,TRX,0.1,0.004,-0.009000000000000001,-0.042,0.105,702105088.0,88600097491.0,88600000000,8845804888.0,False
Toncoin,TON,2.39,0.009000000000000001,0.004,0.040999999999999995,0.109,27257580.0,3453524566.0,5100000000,8244520721.0,True
Chainlink,LINK,14.26,0.003,-0.004,-0.035,0.4,926388873.0,556849971.0,1000000000,7941773511.0,True
Avalanche,AVAX,20.08,0.005,-0.065,0.028999999999999998,1.0090000000000001,1061106290.0,355636845.0,433000000,7141343014.0,True
Polygon,MATIC,0.76,0.005,-0.016,-0.157,0.251,711370306.0,9275380957.0,10000000000,7042683031.0,True
Polkadot,DOT,5.09,0.005,-0.016,-0.059000000000000004,0.264,271357711.0,1299550655.0,1380000000,6613672178.0,True
Wrapped Bitcoin,WBTC,36410.06,0.004,-0.013999999999999999,0.011000000000000001,0.182,309567762.0,162623.0,327000000,5917513839.0,True
Dai,DAI,1.0,-0.001,-0.004,-0.001,-0.004,315871456.0,5308318100.0,5310000000,5284281250.0,True
Litecoin,LTC,67.37,-0.001,-0.038,-0.064,0.019,447880362.0,73901846.0,84000000,4981779441.0,True
Shiba Inu,SHIB,0.11,0.003,-0.042,-0.071,0.099,214418543.0,589326636861240.0,327000000,4682520125.0,False
